    0.30 1.06E+1 1.06E+1
    0.31 1.06E+1 1.06E+1
    0.32 1.05E+1 1.05E+1
    0.33 1.05E+1 1.05E+1
    0.34 1.04E+1 1.04E+1
    0.35 1.04E+1 1.04E+1
    0.36 1.03E+1 1.03E+1
    0.37 1.03E+1 1.03E+1
    0.38 1.02E+1 1.02E+1
    0.39 1.01E+1 1.01E+1
    0.40 9.93E+0 9.93E+0
    0.41 9.79E+0 9.79E+0
    0.42 9.64E+0 9.64E+0
    0.43 9.48E+0 9.48E+0
    0.44 9.31E+0 9.31E+0
    0.45 9.15E+0 9.15E+0
    0.46 8.99E+0 8.99E+0
    0.47 8.83E+0 8.83E+0
    0.48 8.68E+0 8.68E+0
    0.49 8.53E+0 8.53E+0
    0.50 8.39E+0 8.39E+0
    0.51 8.25E+0 8.25E+0
    0.52 8.12E+0 8.12E+0
    0.53 7.99E+0 7.99E+0
    0.54 7.87E+0 7.87E+0
    0.55 7.75E+0 7.75E+0
    0.56 7.63E+0 7.63E+0
    0.57 7.52E+0 7.52E+0
    0.58 7.41E+0 7.41E+0
    0.59 7.30E+0 7.30E+0
    0.60 7.19E+0 7.19E+0
    0.61 7.09E+0 7.09E+0
    0.62 6.98E+0 6.98E+0
    0.63 6.88E+0 6.88E+0
    0.64 6.78E+0 6.78E+0
    0.65 6.67E+0 6.67E+0
    0.66 6.57E+0 6.57E+0
    0.67 6.47E+0 6.47E+0
    0.68 6.37E+0 6.37E+0
    0.69 6.27E+0 6.27E+0
    0.70 6.17E+0 6.17E+0
    0.71 6.06E+0 6.06E+0
    0.72 5.96E+0 5.96E+0
    0.73 5.86E+0 5.86E+0
    0.74 5.76E+0 5.76E+0
    0.75 5.66E+0 5.66E+0
    0.76 5.56E+0 5.56E+0
    0.77 5.47E+0 5.47E+0
    0.78 5.37E+0 5.37E+0
    0.79 5.27E+0 5.27E+0
    0.80 5.18E+0 5.18E+0
    0.81 5.08E+0 5.08E+0
    0.82 4.99E+0 4.99E+0
    0.83 4.90E+0 4.90E+0
    0.84 4.81E+0 4.81E+0
    0.85 4.72E+0 4.72E+0
    0.86 4.63E+0 4.63E+0
    0.87 4.55E+0 4.55E+0
    0.88 4.46E+0 4.46E+0
    0.89 4.38E+0 4.38E+0
    0.90 4.31E+0 4.31E+0
    0.91 4.35E+0 4.35E+0
    0.92 4.27E+0 4.27E+0
    0.93 4.19E+0 4.19E+0
    0.94 4.11E+0 4.11E+0
    0.95 4.04E+0 4.04E+0
    0.96 3.97E+0 3.97E+0
    0.97 3.90E+0 3.90E+0
    0.98 3.83E+0 3.83E+0
    0.99 3.77E+0 3.77E+0
    1.00 3.70E+0 3.70E+0
    1.01 3.64E+0 3.64E+0
    1.02 3.58E+0 3.58E+0
    1.03 3.52E+0 3.52E+0
    1.04 3.46E+0 3.46E+0
    1.05 3.41E+0 3.41E+0
    1.06 3.35E+0 3.35E+0
    1.07 3.30E+0 3.30E+0
    1.08 3.25E+0 3.25E+0
    1.09 3.20E+0 3.20E+0
    1.10 3.15E+0 3.15E+0
    1.11 3.10E+0 3.10E+0
    1.12 3.05E+0 3.05E+0
    1.13 3.01E+0 3.01E+0
    1.14 2.96E+0 2.96E+0
    1.15 2.92E+0 2.92E+0
    1.16 2.88E+0 2.88E+0
    1.17 2.84E+0 2.84E+0
    1.18 2.79E+0 2.79E+0
    1.19 2.76E+0 2.76E+0
    1.20 2.72E+0 2.72E+0
    1.21 2.68E+0 2.68E+0
    1.22 2.64E+0 2.64E+0
    1.23 2.60E+0 2.60E+0
    1.24 2.57E+0 2.57E+0
    1.25 2.53E+0 2.53E+0
    1.26 2.50E+0 2.50E+0
    1.27 2.47E+0 2.47E+0
    1.28 2.43E+0 2.43E+0
    1.29 2.40E+0 2.40E+0
    1.30 2.37E+0 2.37E+0
    1.31 2.34E+0 2.34E+0
    1.32 2.31E+0 2.31E+0
    1.33 2.28E+0 2.28E+0
